date,ead,day,month,holiday,sin_1_365.25
2023-03-16,0.343926569313021,3,3,0,0.0
2023-03-17,0.481654004363922,4,3,0,0.017201575418260506
2023-03-18,0.566728406350219,5,3,0,0.03439806061360801
2023-03-19,0.497218331783573,6,3,0,0.051584366869408364
2023-03-20,0.833433300654605,0,3,0,0.06875540848113941
2023-03-21,1.12246116203417,1,3,0,0.08590610426133272
2023-03-22,1.10378954026298,2,3,0,0.10303137904317879
2023-03-23,0.977485653165198,3,3,0,0.1201261651823505
2023-03-24,1.50563020102176,4,3,0,0.13718540405660057
2023-03-25,0.542098686877499,5,3,0,0.1542040475626894
2023-03-26,0.56164722414966,6,3,0,0.17117705961019986
2023-03-27,0.677832478575715,0,3,0,0.18809941761179758
2023-03-28,1.20706154516697,1,3,0,0.20496611396949532
2023-03-29,0.838945663879706,2,3,0,0.22177215755648186
2023-03-30,0.832692117598151,3,3,0,0.23851257519407648
2023-03-31,0.82870634336995,4,3,0,0.2551824131233728
2023-04-01,0.69239135964268,5,4,0,0.2717767384711357
2023-04-02,0.84526981797864,6,4,0,0.2882906407095177
2023-04-03,1.03233486409051,0,4,0,0.3047192331091634
2023-04-04,0.809122910841457,1,4,0,0.321057654185271
2023-04-05,0.547649234871265,2,4,0,0.3373010691361842
2023-04-06,0.53081734274496,3,4,0,0.3534446712740877
2023-04-07,0.552933675024441,4,4,1,0.3694836834473831
2023-04-08,0.328331147996444,5,4,2,0.38541335945432564
2023-04-09,0.545610249647764,6,4,0,0.4012289854475009
2023-04-10,0.479794185279629,0,4,1,0.4169258813287287
2023-04-11,0.640177947359158,1,4,2,0.4324994021339788
2023-04-12,0.656348751898043,2,4,0,0.44794493940789115
2023-04-13,0.651534664821698,3,4,0,0.4632579225674917
2023-04-14,0.34947433600954,4,4,0,0.4784338202547012
2023-04-15,0.429397848659704,5,4,0,0.49346814167723735
2023-04-16,0.748467100005529,6,4,0,0.5083564379375122
2023-04-17,0.921744071794096,0,4,0,0.5230943033491326
2023-04-18,0.671445736770074,1,4,0,0.5376773767406141
2023-04-19,0.716018995141053,2,4,0,0.5521013427459208
2023-04-20,0.573340057627718,3,4,0,0.5663619330814524
2023-04-21,0.661905125770169,4,4,0,0.580454927809098
2023-04-22,0.338543616572764,5,4,0,0.5943761565849831
2023-04-23,0.430720560318978,6,4,0,0.6081214998935418
2023-04-24,0.846540323545663,0,4,0,0.6216868902665479
2023-04-25,0.732069684832954,1,4,0,0.6350683134867438
2023-04-26,0.539596365924384,2,4,0,0.6482618097757122
2023-04-27,0.729298997592462,3,4,0,0.6612634749656386
2023-04-28,0.609220709700663,4,4,0,0.6740694616546162
2023-04-29,0.730286676589309,5,4,0,0.6866759803451553
2023-04-30,0.622574339361417,6,4,0,0.6990793005655562
2023-05-01,0.766800040643052,0,5,1,0.7112757519738152
2023-05-02,0.675886500778657,1,5,2,0.7232617254437388
2023-05-03,1.16068770505717,2,5,0,0.7350336741329412
2023-05-04,0.857637471948671,3,5,0,0.746588114532413
2023-05-05,0.899846251713982,4,5,0,0.7579216274973472
2023-05-06,0.384186268342254,5,5,0,0.7690308592589181
2023-05-07,0.523723798083827,6,5,0,0.7799125224167177
2023-05-08,0.974484958863273,0,5,0,0.7905633969115482
2023-05-09,0.942227675135788,1,5,0,0.8009803309782905
2023-05-10,1.3341801016122,2,5,3,0.8111602420785621
2023-05-11,1.11651587910444,3,5,0,0.8211001178128892
2023-05-12,0.787563263168658,4,5,0,0.8307970168121247
2023-05-13,0.527057241669944,5,5,0,0.8402480696078469
2023-05-14,0.606952160762359,6,5,0,0.8494504794814806
2023-05-15,0.853075345911652,0,5,0,0.8584015232918917
2023-05-16,0.636563125107858,1,5,0,0.8670985522812081
2023-05-17,0.45967312762874,2,5,0,0.8755389928586302
2023-05-18,0.390938974431128,3,5,0,0.8837203473619977
2023-05-19,0.299719737478456,4,5,0,0.8916401947968874
2023-05-20,0.309092312573856,5,5,0,0.8992961915530253
2023-05-21,0.331783719626385,6,5,0,0.9066860720977985
2023-05-22,0.361557840833704,0,5,0,0.9138076496466615
2023-05-23,0.494615662228253,1,5,0,0.9206588168102428
2023-05-24,0.416240311889192,2,5,0,0.9272375462179537
2023-05-25,0.357604289027226,3,5,0,0.9335418911179212
2023-05-26,0.276400641886359,4,5,0,0.9395699859530622
2023-05-27,0.185197553796077,5,5,0,0.945320046913132
2023-05-28,0.175569748342264,6,5,0,0.9507903724625832
2023-05-29,0.204381314484941,0,5,1,0.9559793438440766
2023-05-30,0.307558844290287,1,5,2,0.9608854255574977
2023-05-31,0.49107338314766,2,5,0,0.9655071658143364
2023-06-01,0.345550153753838,3,6,0,0.969843196967294
2023-06-02,0.360102191403682,4,6,0,0.9738922359149924
2023-06-03,0.253440082997727,5,6,0,0.9776530844816641
2023-06-04,0.31757605949919,6,6,0,0.981124629771712
2023-06-05,0.704827061415178,0,6,0,0.984305844499033
2023-06-06,0.801920609205192,1,6,0,0.9871957872910085
2023-06-07,0.337444704083389,2,6,0,0.9897936029670716
2023-06-08,0.448907106939882,3,6,0,0.992098522791769
2023-06-09,0.37044738551973,4,6,0,0.9941098647022418
2023-06-10,0.374017354260803,5,6,0,0.9958270335100595
2023-06-11,0.707879461090044,6,6,0,0.9972495210773451
2023-06-12,0.89588510726686,0,6,0,0.998376906467142
2023-06-13,0.847229711827983,1,6,0,0.9992088560679753
2023-06-14,0.77216013851684,2,6,0,0.9997451236925734
2023-06-15,0.610083129528807,3,6,0,0.9999855506507186
2023-06-16,0.289794458868327,4,6,0,0.9999300657962057
2023-06-17,0.171847680722819,5,6,0,0.9995786855478958
2023-06-18,0.262524019259489,6,6,0,0.9989315138848577
2023-06-19,0.40262654417276,0,6,0,0.9979887423155984
2023-06-20,0.264732443874669,1,6,0,0.9967506498213929
2023-06-21,0.441768701188418,2,6,0,0.9952176027737294
2023-06-22,0.352948987203366,3,6,0,0.9933900548258936
2023-06-23,0.243103031102927,4,6,0,0.9912685467787256
2023-06-24,0.209935667614155,5,6,0,0.9888537064205885
2023-06-25,0.218245387311696,6,6,0,0.986146248341595
2023-06-26,0.309583330532105,0,6,0,0.9831469737221499
2023-06-27,0.499287491434771,1,6,0,0.9798567700958665
2023-06-28,0.2716394119324,2,6,0,0.9762766110869321
2023-06-29,0.237647013243674,3,6,0,0.9724075561219968
2023-06-30,0.266434514674835,4,6,0,0.9682507501166718
2023-07-01,0.339460644240052,5,7,0,0.9638074231367307
2023-07-02,0.238040859654317,6,7,0,0.9590788900341131
2023-07-03,0.31828521051361,0,7,0,0.9540665500578387
2023-07-04,0.304586855691127,1,7,0,0.9487718864399473
2023-07-05,0.21211295026573,2,7,0,0.9431964659565866
2023-07-06,0.285401051595863,3,7,0,0.9373419384643772
2023-07-07,0.171390360109045,4,7,0,0.9312100364121947
2023-07-08,0.287314814774441,5,7,0,0.9248025743285089
2023-07-09,0.164647143549639,6,7,0,0.9181214482844365
2023-07-10,0.255107614641457,0,7,0,0.9111686353326631
2023-07-11,0.413058934981925,1,7,0,0.9039461929224011
2023-07-12,0.303440013361237,2,7,0,0.8964562582905575
2023-07-13,0.156306549368271,3,7,0,0.8887010478292915
2023-07-14,0.214730055819019,4,7,0,0.8806828564301475
2023-07-15,0.181534432554719,5,7,0,0.8724040568049612
2023-07-16,0.147558582601744,6,7,0,0.8638670987837349
2023-07-17,0.182425529256107,0,7,0,0.8550745085896932
2023-07-18,0.179908794010801,1,7,0,0.8460288880917339
2023-07-19,0.250573742336899,2,7,0,0.8367329140344921
2023-07-20,0.325609110325826,3,7,0,0.8271893372462497
2023-07-21,0.217824172125965,4,7,0,0.8174009818249189
2023-07-22,0.193956453484332,5,7,0,0.8073707443023492
2023-07-23,0.355943290392086,6,7,0,0.7971015927871943
2023-07-24,0.405081594675103,0,7,0,0.7865965660866021
2023-07-25,0.365885420682723,1,7,0,0.7758587728069828
2023-07-26,0.313952451635452,2,7,0,0.7648913904341226
2023-07-27,0.294218702670197,3,7,0,0.753697664392914
2023-07-28,0.390365962015623,4,7,0,0.742280907086982
2023-07-29,0.448120610509655,5,7,0,0.7306444969184916
2023-07-30,0.273901361451835,6,7,0,0.7187918772884232
2023-07-31,0.232019518226976,0,7,0,0.7067265555776159
2023-08-01,0.490379117551991,1,8,0,0.6944521021088763
2023-08-02,0.670822017790106,2,8,0,0.6819721490904629
2023-08-03,0.64026095743175,3,8,0,0.6692903895412567
2023-08-04,0.425916680323852,4,8,0,0.6564105761979381
2023-08-05,0.355228708969441,5,8,0,0.6433365204044917
2023-08-06,0.43227425944097,6,8,0,0.6300720909843687
2023-08-07,0.688649135347072,0,8,0,0.6166212130956382
2023-08-08,0.616106263793678,1,8,0,0.6029878670694714
2023-08-09,0.404392591598769,2,8,0,0.5891760872322963
2023-08-10,0.430386207745502,3,8,0,0.5751899607119775
2023-08-11,0.316575630213138,4,8,0,0.5610336262283677
2023-08-12,0.259848043388266,5,8,0,0.5467112728685939
2023-08-13,0.254910229765869,6,8,0,0.5322271388474397
2023-08-14,0.351788923345236,0,8,0,0.5175855102531889
2023-08-15,0.398670345779153,1,8,0,0.5027907197793043
2023-08-16,0.283336887981331,2,8,0,0.4878471454423119
2023-08-17,0.412800433895737,3,8,0,0.47275920928627757
2023-08-18,0.387767891651662,4,8,0,0.4575313760742512
2023-08-19,0.259057603427543,5,8,0,0.44216815196707204
2023-08-20,0.249838569388718,6,8,0,0.42667408318992467
2023-08-21,0.423957713226388,0,8,0,0.4110537546870351
2023-08-22,0.630555384728833,1,8,0,0.3953117887649151
2023-08-23,0.45489489434436,2,8,0,0.37945284372454435
2023-08-24,0.544484260605275,3,8,0,0.36348161248290634
2023-08-25,0.58855449824067,4,8,0,0.3474028211842774
2023-08-26,0.431450741718364,5,8,0,0.3312212278016865
2023-08-27,0.361134193403755,6,8,0,0.31494162072895193
2023-08-28,0.249356879913115,0,8,1,0.2985688173637202
2023-08-29,0.449163645899402,1,8,2,0.2821076626819194
2023-08-30,0.510453727119977,2,8,0,0.26556302780405594
2023-08-31,0.488547498132593,3,8,0,0.24893980855376657
2023-09-01,0.332850935091969,4,9,0,0.23224292400907015
2023-09-02,0.380559809616176,5,9,0,0.21547731504673012
2023-09-03,0.3577070958093,6,9,0,0.19864794288017112
2023-09-04,0.312058994232292,0,9,0,0.18175978759137534
2023-09-05,0.716142900966778,1,9,0,0.16481784665719793
2023-09-06,0.740579928220893,2,9,0,0.14782713347053048
2023-09-07,0.756512036566997,3,9,0,0.13079267585675922
2023-09-08,0.635687248011829,4,9,0,0.11371951458594969
2023-09-09,0.382208222412597,5,9,0,0.0966127018812031
2023-09-10,0.53548237086147,6,9,0,0.07947729992362097
2023-09-11,0.774056680317794,0,9,0,0.062318379354325076
2023-09-12,1.16355210839312,1,9,0,0.04514101777397193
2023-09-13,0.514802996592348,2,9,0,0.02795029824021032
2023-09-14,0.284507920607944,3,9,0,0.01075130776352193
